station,train_no,destination,expected_arr,time_to_station,tfl_status,time
PYB,052,Edgware Road,2026-07-21T14:51:05Z,65,Good Service,2026-07-21 14:50:40.561666+00:00
PSG,052,Edgware Road,2026-07-21T14:53:36Z,215,Good Service,2026-07-21 14:50:40.969429+00:00
FBY,052,Edgware Road,2026-07-21T14:55:35Z,333,Good Service,2026-07-21 14:50:42.198421+00:00
FBY,074,Edgware Road,2026-07-21T14:52:05Z,123,Good Service,2026-07-21 14:50:42.202653+00:00
PYB,052,Edgware Road,2026-07-21T14:51:05Z,65,Good Service,2026-07-21 14:51:16.807428+00:00
PSG,052,Edgware Road,2026-07-21T14:53:07Z,150,Good Service,2026-07-21 14:51:17.526691+00:00
PSG,062,Edgware Road,2026-07-21T15:02:38Z,721,Good Service,2026-07-21 14:51:17.531981+00:00
FBY,052,Edgware Road,2026-07-21T14:55:38Z,300,Good Service,2026-07-21 14:51:17.731141+00:00
FBY,062,Edgware Road,2026-07-21T15:04:38Z,840,Good Service,2026-07-21 14:51:17.737017+00:00
FBY,074,Edgware Road,2026-07-21T14:52:08Z,90,Good Service,2026-07-21 14:51:17.742373+00:00
WIP,062,Edgware Road,2026-07-21T14:53:08Z,127,Good Service,2026-07-21 14:51:41.590975+00:00
EPY,062,Edgware Road,2026-07-21T14:57:38Z,397,Good Service,2026-07-21 14:51:41.804618+00:00
PYB,052,Edgware Road,2026-07-21T14:51:05Z,3,Good Service,2026-07-21 14:51:42.205345+00:00
PYB,062,Edgware Road,2026-07-21T14:59:37Z,515,Good Service,2026-07-21 14:51:42.208310+00:00
PSG,052,Edgware Road,2026-07-21T14:53:07Z,124,Good Service,2026-07-21 14:51:43.549179+00:00
PSG,062,Edgware Road,2026-07-21T15:02:38Z,695,Good Service,2026-07-21 14:51:43.556243+00:00
FBY,052,Edgware Road,2026-07-21T14:55:38Z,275,Good Service,2026-07-21 14:51:43.741632+00:00
FBY,062,Edgware Road,2026-07-21T15:04:38Z,815,Good Service,2026-07-21 14:51:43.748481+00:00
FBY,074,Edgware Road,2026-07-21T14:52:08Z,65,Good Service,2026-07-21 14:51:43.756875+00:00
WIP,062,Edgware Road,2026-07-21T14:53:08Z,127,Good Service,2026-07-21 14:52:05.688146+00:00
SFS,062,Edgware Road,2026-07-21T14:56:05Z,279,Good Service,2026-07-21 14:52:06.269522+00:00
EPY,062,Edgware Road,2026-07-21T14:57:38Z,397,Good Service,2026-07-21 14:52:06.361423+00:00
PYB,062,Edgware Road,2026-07-21T15:00:36Z,550,Good Service,2026-07-21 14:52:06.467528+00:00
PSG,052,Edgware Road,2026-07-21T14:53:07Z,150,Good Service,2026-07-21 14:52:06.566354+00:00
PSG,062,Edgware Road,2026-07-21T15:02:38Z,721,Good Service,2026-07-21 14:52:06.569128+00:00
FBY,052,Edgware Road,2026-07-21T14:55:38Z,300,Good Service,2026-07-21 14:52:06.662523+00:00
FBY,062,Edgware Road,2026-07-21T15:04:38Z,840,Good Service,2026-07-21 14:52:06.665053+00:00
FBY,074,Edgware Road,2026-07-21T14:52:08Z,90,Good Service,2026-07-21 14:52:06.667250+00:00
WIP,062,Edgware Road,2026-07-21T14:54:06Z,137,Good Service,2026-07-21 14:52:28.811660+00:00
