station,train_no,destination,expected_arr,time_to_station,tfl_status,time
WIP,054,Wimbledon,2026-07-21T15:04:35Z,867,Good Service,2026-07-21 14:50:48.649486+00:00
WIP,063,Wimbledon,2026-07-21T14:55:35Z,327,Good Service,2026-07-21 14:50:48.653419+00:00
WIP,070,Wimbledon,2026-07-21T14:59:35Z,567,Good Service,2026-07-21 14:50:48.660227+00:00
WIP,071,Wimbledon,2026-07-21T15:10:36Z,1228,Good Service,2026-07-21 14:50:48.664590+00:00
WIP,077,Wimbledon,2026-07-21T14:50:14Z,6,Good Service,2026-07-21 14:50:48.668847+00:00
SFS,054,Wimbledon,2026-07-21T15:03:35Z,807,Good Service,2026-07-21 14:50:48.856733+00:00
SFS,063,Wimbledon,2026-07-21T14:54:35Z,267,Good Service,2026-07-21 14:50:48.863307+00:00
SFS,070,Wimbledon,2026-07-21T14:58:35Z,507,Good Service,2026-07-21 14:50:48.869569+00:00
SFS,071,Wimbledon,2026-07-21T15:09:36Z,1168,Good Service,2026-07-21 14:50:48.876789+00:00
EPY,054,Wimbledon,2026-07-21T15:01:35Z,683,Good Service,2026-07-21 14:50:52.644865+00:00
EPY,063,Wimbledon,2026-07-21T14:53:05Z,173,Good Service,2026-07-21 14:50:52.651255+00:00
EPY,070,Wimbledon,2026-07-21T14:56:35Z,383,Good Service,2026-07-21 14:50:52.658046+00:00
EPY,071,Wimbledon,2026-07-21T15:07:35Z,1043,Good Service,2026-07-21 14:50:52.663651+00:00
PYB,054,Wimbledon,2026-07-21T14:58:35Z,502,Good Service,2026-07-21 14:50:52.951389+00:00
PYB,070,Wimbledon,2026-07-21T14:54:05Z,232,Good Service,2026-07-21 14:50:52.956079+00:00
PYB,071,Wimbledon,2026-07-21T15:04:35Z,862,Good Service,2026-07-21 14:50:52.960348+00:00
PSG,054,Wimbledon,2026-07-21T14:56:35Z,381,Good Service,2026-07-21 14:50:53.995618+00:00
